# x, y, z, length, angle, cell_id
35.759382 36.883002 1.000000 45.767063 -9.326763 1
68.162162 49.486486 1.000000 49.015758 10.609450 2
79.104918 77.731148 1.000000 29.057617 -16.337755 3
104.788462 83.724359 1.000000 27.971159 -14.671950 4
104.049808 51.160920 1.000000 23.648927 8.444528 5
134.658031 65.629534 1.000000 42.818586 7.738048 6
40.363924 22.401899 1.000000 30.654425 -7.151449 7
64.952206 31.044118 1.000000 25.822551 -33.111703 8
80.366667 62.858333 1.000000 25.823771 -10.152888 9
102.586667 67.173333 1.000000 24.452010 -4.456916 10
94.924933 33.707775 1.000000 35.925008 -6.372556 11
128.002793 35.134078 1.000000 36.090219 -3.851011 12
135.710997 80.557545 1.000000 36.766389 8.160788 13
166.219585 77.050445 1.000000 30.702975 4.383942 14
154.241791 51.080597 1.000000 29.240434 -23.891786 15
181.357820 62.898104 1.000000 37.378420 -27.317463 16
126.547101 50.905797 1.000000 25.393270 2.904525 17
