# x, y, z, length, angle, cell_id
35.015556 91.131111 1.000000 40.980538 8.906029 1
117.136483 85.564304 1.000000 43.775214 -29.129800 2
121.953271 70.742991 1.000000 41.043168 -20.746570 3
123.891960 51.040201 1.000000 35.157953 12.460347 4
145.539267 92.884817 1.000000 19.701562 18.082102 5
156.221649 50.891753 1.000000 34.190675 -11.227255 6
152.341060 73.390728 1.000000 26.553398 28.291486 7
163.457983 103.762605 1.000000 46.488290 12.852921 8
174.743494 66.572491 1.000000 24.736143 9.323127 9
186.031469 51.426573 1.000000 26.506015 -19.518362 10
195.241590 87.908257 1.000000 31.834954 -6.479262 11
204.266949 109.858051 1.000000 46.325706 -32.209889 12
198.617391 72.417391 1.000000 23.784238 -19.286989 13
212.156164 61.416438 1.000000 35.054618 -22.195409 14
221.264493 81.079710 1.000000 26.576174 -21.680685 15
222.043919 101.554054 1.000000 29.891360 -46.341039 16
242.861635 94.537736 1.000000 27.185995 3.148769 17
272.300948 102.372038 1.000000 37.436641 -29.318381 18
46.920605 70.120983 1.000000 52.213465 20.890530 19
61.006250 49.103125 1.000000 29.782754 23.974398 20
82.226667 40.657778 1.000000 20.856446 19.212097 21
63.991803 79.737705 1.000000 23.887104 20.680677 22
85.928571 72.120301 1.000000 29.122928 16.403830 23
81.652381 58.166667 1.000000 20.923574 -6.456809 24
98.945313 50.750000 1.000000 25.508375 73.200895 25
100.404682 27.541806 1.000000 25.178816 -87.334485 26
93.292254 89.440141 1.000000 24.950702 -26.039510 27
115.029032 101.906452 1.000000 28.521598 -27.152540 28
135.489796 118.336735 1.000000 26.202333 -16.120905 29
158.074074 124.417508 1.000000 25.610416 -13.728207 30
238.744681 120.173252 1.000000 28.965657 11.413311 31
264.532915 118.931034 1.000000 28.466798 -1.338749 32
167.025271 84.750903 1.000000 29.052997 24.637141 33
