# x, y, z, length, angle, cell_id
38.490054 118.430380 1.000000 49.287777 -10.654544 1
32.792941 95.395294 1.000000 38.294777 29.449439 2
62.360526 67.944737 1.000000 34.840851 26.143883 3
65.277937 84.767908 1.000000 34.841370 10.971002 4
75.438806 116.480597 1.000000 28.125683 -11.578774 5
86.465201 51.003663 1.000000 25.338010 46.694949 6
95.424870 29.326425 1.000000 34.994029 -49.750750 7
97.699153 105.309322 1.000000 25.247749 9.425114 8
108.248899 121.720264 1.000000 39.208069 -4.065610 9
119.579365 85.789683 1.000000 24.729801 -17.977903 10
132.114754 72.918033 1.000000 44.501896 -12.633952 11
130.801653 141.779614 1.000000 33.460123 -13.042953 12
142.766467 113.155689 1.000000 34.595041 -9.922220 13
142.807560 96.209622 1.000000 26.047350 -28.329540 14
160.284848 145.121212 1.000000 30.030873 0.005521 15
166.478365 77.620192 1.000000 41.688548 33.109365 16
171.029973 93.683924 1.000000 34.242228 35.687707 17
183.058380 108.141243 1.000000 50.955506 20.440854 18
198.650367 132.721271 1.000000 36.544655 -12.635262 19
200.122857 70.905714 1.000000 32.343134 -7.636175 20
201.109859 87.042254 1.000000 34.026347 -8.307381 21
209.620053 117.722955 1.000000 36.934856 -1.417724 22
222.462585 103.595238 1.000000 28.852266 -12.444189 23
224.686792 143.252830 1.000000 24.347415 -39.805073 24
231.130137 87.031963 1.000000 41.655255 -41.457462 25
237.871148 132.711485 1.000000 33.553125 -58.495538 26
244.535533 156.913706 1.000000 37.063495 18.470226 27
249.075145 115.959538 1.000000 30.834246 -39.942910 28
263.557994 133.545455 1.000000 31.694203 31.790942 29
275.316770 144.642857 1.000000 31.443882 28.803502 30
284.509128 121.853955 1.000000 46.140307 -44.105408 31
55.777448 102.492582 1.000000 37.258245 13.063768 32
89.325843 93.117978 1.000000 38.745102 16.204256 33
141.817204 128.329749 1.000000 29.179480 -6.911018 34
168.336957 128.536232 1.000000 26.788676 1.260943 35
87.262712 73.915254 1.000000 24.262813 -57.705743 36
103.846336 63.073286 1.000000 41.194292 78.728702 37
118.723982 102.570136 1.000000 21.858700 10.580578 38
