# x, y, z, length, angle, cell_id
38.813285 121.278276 1.000000 50.234644 -10.081175 1
34.385488 98.487528 1.000000 39.208128 26.912145 2
59.874286 105.014286 1.000000 40.334875 11.989453 3
65.743523 70.924870 1.000000 35.212177 26.294754 4
69.185286 87.893733 1.000000 36.546218 10.951721 5
75.112426 120.174556 1.000000 28.751053 -17.049695 6
95.724432 96.034091 1.000000 38.519974 12.779235 7
89.182759 51.858621 1.000000 25.688553 55.051348 8
91.120000 76.364000 1.000000 26.037810 -64.889990 9
96.820000 29.812500 1.000000 36.010988 -45.486134 10
97.400000 109.991489 1.000000 25.292156 10.995568 11
108.938689 125.596195 1.000000 40.546172 -0.678466 12
106.676606 64.564220 1.000000 43.444387 82.099365 13
123.513011 86.698885 1.000000 25.740572 -28.702676 14
126.582418 70.564103 1.000000 24.825737 -21.308013 15
131.539894 147.135638 1.000000 34.568367 -15.342766 16
141.625683 117.844262 1.000000 37.160418 -15.051991 17
142.353357 133.939929 1.000000 29.279583 -7.531977 18
145.808442 101.240260 1.000000 27.993734 -35.181564 19
162.390093 149.544892 1.000000 30.628156 5.225221 20
168.619718 81.643192 1.000000 42.291183 38.820419 21
169.551601 134.241993 1.000000 27.979604 0.788203 22
173.827027 97.821622 1.000000 34.965320 41.893765 23
200.398585 134.966981 1.000000 37.974759 -14.113857 24
202.130556 73.550000 1.000000 33.249548 -10.106987 25
203.632708 89.922252 1.000000 35.685743 -10.693877 26
214.795699 120.395161 1.000000 36.996644 1.085373 27
227.096990 105.909699 1.000000 29.250966 -8.958171 28
227.350181 146.093863 1.000000 25.114257 -39.102535 29
234.965217 89.150000 1.000000 43.089857 -36.514531 30
247.238095 160.877193 1.000000 37.997711 13.304547 31
242.197832 135.764228 1.000000 34.186295 -65.869881 32
253.882192 119.460274 1.000000 32.358063 -48.459700 33
267.439103 138.833333 1.000000 31.357396 31.092735 34
279.196375 149.740181 1.000000 32.852129 30.994154 35
286.731076 125.330677 1.000000 47.512040 -41.623542 36
185.434028 112.677083 1.000000 55.668783 21.973684 37
145.742222 78.875556 1.000000 19.546796 -21.470576 38
119.412017 104.785408 1.000000 23.150195 19.906160 39
