# x, y, z, length, angle, cell_id
36.353175 104.521825 1.000000 45.200951 -11.076521 1
91.006623 99.182119 1.000000 26.401673 -20.212796 2
100.627976 29.476190 1.000000 28.981369 -82.957782 3
107.806452 90.165899 1.000000 23.544371 -23.249292 4
110.719512 76.640244 1.000000 19.255171 -18.505863 5
117.085635 110.588398 1.000000 32.961288 -21.036145 6
125.045894 65.606280 1.000000 38.960057 -11.721819 7
130.812977 83.263359 1.000000 23.967091 -15.896539 8
149.909091 100.702479 1.000000 25.562873 8.629508 9
156.470405 82.339564 1.000000 28.746926 25.346071 10
161.469287 63.609337 1.000000 38.442761 16.471788 11
176.796143 92.955923 1.000000 35.356580 20.751702 12
182.596667 74.883333 1.000000 28.600092 6.040550 13
193.643963 59.464396 1.000000 29.458283 -19.035330 14
201.906706 102.186589 1.000000 33.393363 -4.710727 15
206.620301 85.766917 1.000000 25.022241 -21.772345 16
221.627792 74.436725 1.000000 38.147700 -34.822507 17
230.416382 96.784983 1.000000 28.420752 -27.501087 18
228.940063 116.854890 1.000000 31.141171 -51.456395 19
242.179063 136.611570 1.000000 33.549394 22.729395 20
251.459064 109.049708 1.000000 29.781116 29.441901 21
269.606061 127.948485 1.000000 29.698138 14.091440 22
282.618421 111.739035 1.000000 40.361837 -30.142324 23
34.935860 83.481050 1.000000 31.172069 27.966417 24
60.055147 74.014706 1.000000 29.376289 16.690177 25
57.512367 90.568905 1.000000 28.776367 17.018055 26
83.248428 81.544025 1.000000 32.632835 18.290708 27
60.608069 57.564841 1.000000 31.807398 24.184884 28
83.286853 46.342629 1.000000 23.087559 31.235611 29
135.413043 129.863354 1.000000 29.390842 -13.100165 30
161.151976 134.282675 1.000000 27.870601 -9.846090 31
147.713755 115.539033 1.000000 27.374087 -0.554035 32
170.780303 113.318182 1.000000 24.141151 6.077547 33
197.318318 118.585586 1.000000 30.042149 -20.568564 34
218.304545 129.413636 1.000000 21.118454 -35.555082 35
82.626316 65.589474 1.000000 19.612507 -30.040051 36
99.225000 57.896875 1.000000 31.051682 71.891780 37
126.903409 98.125000 1.000000 19.877351 -20.984406 38
