# x, y, z, length, angle, cell_id
35.587137 100.004149 1.000000 43.291246 -8.481335 1
90.826990 95.858131 1.000000 25.641343 -23.634433 2
114.908416 90.750000 1.000000 45.101769 -25.540589 3
110.756250 73.668750 1.000000 18.442670 -18.714207 4
115.748538 107.941520 1.000000 31.732149 -22.270908 5
125.801402 58.257009 1.000000 37.324588 12.893098 6
150.315589 112.357414 1.000000 26.244538 5.323953 7
154.726994 79.288344 1.000000 28.082687 25.686290 8
160.331731 57.240385 1.000000 37.006965 -8.058481 9
179.540070 73.066202 1.000000 27.385647 4.157532 10
192.660131 58.486928 1.000000 27.927518 -17.756818 11
198.343750 112.765625 1.000000 28.708830 -21.361727 12
201.064327 96.020468 1.000000 32.798657 -6.899550 13
205.172000 80.032000 1.000000 25.313667 -21.606024 14
220.848564 70.143603 1.000000 37.335978 -26.454341 15
228.842857 90.521429 1.000000 27.589796 -26.632221 16
228.188498 110.984026 1.000000 30.778599 -51.254055 17
250.315789 103.441520 1.000000 28.974908 19.249679 18
280.914027 108.468326 1.000000 39.477595 -30.896685 19
36.842900 79.894260 1.000000 30.172520 27.743972 20
60.062257 70.564202 1.000000 27.807814 17.574437 21
61.270588 54.123529 1.000000 31.509916 22.715330 22
83.966527 44.234310 1.000000 22.226634 25.853748 23
59.661654 86.612782 1.000000 26.698432 18.825364 24
83.835616 77.393836 1.000000 30.726197 18.717572 25
82.947368 62.384211 1.000000 19.146453 -16.759148 26
100.073826 55.506711 1.000000 29.173928 72.228099 27
101.825000 29.156250 1.000000 27.734812 -87.460800 28
135.930599 126.012618 1.000000 28.316783 -16.477485 29
160.339623 131.500000 1.000000 27.205788 -12.896380 30
146.441964 98.102679 1.000000 23.579639 10.771656 31
171.469880 90.870482 1.000000 32.860411 19.316380 32
241.357349 130.550432 1.000000 31.797718 19.356177 33
268.474320 124.202417 1.000000 29.097748 10.755134 34
129.768116 79.474638 1.000000 22.893836 -17.264571 35
172.659919 108.526316 1.000000 22.387405 12.231272 36
218.000000 123.745098 1.000000 19.736104 -36.244956 37
