# x, y, z, length, angle, cell_id
30.983827 74.746631 1.000000 34.929397 24.218704 1
36.779126 56.150485 1.000000 41.559333 18.172487 2
54.552916 36.153348 1.000000 43.933169 13.133111 3
65.977995 64.613692 1.000000 43.620777 8.944526 4
78.008772 79.833333 1.000000 20.037023 -32.478166 5
104.468835 78.745257 1.000000 38.725906 -26.544921 6
105.741026 62.169231 1.000000 36.850853 -15.346913 7
125.899371 100.140461 1.000000 43.929930 -0.731441 8
138.151515 78.498623 1.000000 38.927460 28.012797 9
140.500000 60.476087 1.000000 42.191378 22.396218 10
169.128205 79.780220 1.000000 28.421060 -11.125719 11
168.341969 64.813472 1.000000 19.657939 -10.729429 12
195.523810 87.410256 1.000000 28.428659 -20.032074 13
220.413793 107.420690 1.000000 24.854763 8.511871 14
107.912500 45.512500 1.000000 30.069130 1.256356 15
134.130990 44.134185 1.000000 29.109438 6.359373 16
158.471850 92.680965 1.000000 36.493975 -14.618112 17
190.863980 102.304786 1.000000 37.372371 -21.870102 18
160.708502 42.724696 1.000000 22.644117 -22.922392 19
181.588997 51.770227 1.000000 29.227787 -22.341316 20
212.347518 77.716312 1.000000 24.671043 -19.943442 21
235.875691 87.966851 1.000000 31.584602 -25.198731 22
67.779817 49.665138 1.000000 22.433640 -9.911913 23
83.146237 34.716129 1.000000 42.504521 -84.078695 24
243.093633 106.887640 1.000000 24.423055 1.212023 25
188.547718 69.427386 1.000000 23.528622 -12.506773 26
94.575188 92.563910 1.000000 24.195620 -36.782893 27
