# x, y, z, length, angle, cell_id
40.039293 100.846758 1.000000 45.828109 33.395413 1
73.756691 70.357664 1.000000 38.940722 22.350115 2
79.327394 85.060134 1.000000 45.516164 19.390900 3
76.637306 118.847150 1.000000 33.603015 3.825756 4
86.739812 44.257053 1.000000 28.949686 -84.331825 5
105.618736 26.420479 1.000000 40.685565 -18.690297 6
100.049261 64.576355 1.000000 20.098169 -67.049877 7
109.627523 136.794495 1.000000 47.388399 -47.392838 8
106.501845 110.859779 1.000000 27.113095 -6.840452 9
106.256410 46.857143 1.000000 28.373925 -51.380902 10
109.834254 81.265193 1.000000 19.676487 -57.061184 11
120.482249 72.757396 1.000000 37.619516 -65.552688 12
132.274131 111.722008 1.000000 26.306138 5.207451 13
141.142169 163.821687 1.000000 39.494659 -19.543459 14
136.964602 66.336283 1.000000 29.995991 -37.751040 15
142.996785 148.562701 1.000000 32.679835 -21.677955 16
144.350649 92.396104 1.000000 29.726218 -51.183969 17
157.296748 81.995935 1.000000 22.764842 -46.396747 18
160.763587 118.706522 1.000000 31.880172 -61.793550 19
174.703030 151.530303 1.000000 34.027550 8.342748 20
175.347945 166.665753 1.000000 34.281453 13.193915 21
184.018391 106.291954 1.000000 38.866193 65.007834 22
198.873418 140.877637 1.000000 20.391128 4.542866 23
210.745407 72.503937 1.000000 36.386582 -1.061509 24
212.559284 88.402685 1.000000 40.865106 -0.490702 25
222.073892 126.684729 1.000000 20.293168 -11.171072 26
243.909366 110.235650 1.000000 33.288055 31.917629 27
249.625954 81.530534 1.000000 48.333789 -26.111168 28
242.275748 147.936877 1.000000 28.122882 -20.682778 29
256.514039 165.561555 1.000000 42.672231 -3.555994 30
258.606684 131.583548 1.000000 38.011162 -78.832384 31
269.376963 114.005236 1.000000 38.172656 -73.112717 32
277.186782 143.436782 1.000000 34.996153 54.971656 33
288.189349 154.683432 1.000000 33.538289 56.983458 34
294.975881 125.836735 1.000000 50.170188 -49.685799 35
30.216718 124.278638 1.000000 28.935349 -7.848236 36
54.800000 130.743750 1.000000 28.354457 -21.318384 37
52.995025 110.786070 1.000000 24.941197 28.099483 38
77.213793 101.020690 1.000000 32.921183 19.104748 39
127.515050 127.511706 1.000000 30.372623 -16.819872 40
151.959410 136.166052 1.000000 29.280419 -26.685388 41
192.738754 125.051903 1.000000 59.873905 32.899510 42
229.638070 101.603217 1.000000 42.982279 29.230718 43
104.311321 96.084906 1.000000 23.109669 -4.852572 44
125.328283 97.868687 1.000000 22.595993 -0.418742 45
170.613445 97.453782 1.000000 23.882043 67.669181 46
182.338521 79.042802 1.000000 23.368085 45.128355 47
240.523077 131.148718 1.000000 19.654213 -12.563393 48
217.164444 141.653333 1.000000 20.198332 -7.989284 49
