# x, y, z, length, angle, cell_id
37.247899 38.750000 1.000000 49.243061 2.668809 1
41.216138 22.829971 1.000000 32.441986 9.390693 2
67.833333 31.186667 1.000000 28.600572 -47.377390 3
76.375000 78.801136 1.000000 31.858640 -16.111799 4
99.228501 35.845209 1.000000 40.442236 4.971106 5
105.077810 83.561960 1.000000 30.440915 -4.302885 6
104.274648 51.070423 1.000000 26.682955 5.169215 7
129.164134 51.787234 1.000000 28.714991 -1.061434 8
136.627160 36.274074 1.000000 39.764302 -9.797979 9
139.650463 82.384259 1.000000 41.304193 -0.617192 10
142.026764 67.552311 1.000000 45.204395 -1.597362 11
174.728947 80.371053 1.000000 33.919781 8.753205 12
63.545279 51.475915 1.000000 53.509791 4.083844 13
82.602317 64.633205 1.000000 27.750365 -7.411467 14
106.984000 66.908000 1.000000 26.597579 -1.824456 15
160.485795 54.960227 1.000000 32.077131 -18.907756 16
191.591102 65.802966 1.000000 41.297854 -23.191831 17
