# x, y, z, length, angle, cell_id
30.720721 163.612613 1.000000 41.140237 -42.070717 1
41.768482 133.706226 1.000000 46.850046 36.071485 2
64.243714 172.241779 1.000000 50.314305 30.923490 3
68.027290 152.064327 1.000000 50.690005 30.107433 4
96.452830 120.714623 1.000000 42.394419 58.773866 5
113.230928 149.913402 1.000000 47.909253 62.113975 6
115.404692 77.120235 1.000000 31.869393 -65.415320 7
118.551471 54.029412 1.000000 26.827305 -49.000573 8
138.570020 23.743590 1.000000 48.356241 -6.026012 9
129.577259 43.583090 1.000000 36.747416 -47.314037 10
132.000000 76.250000 1.000000 25.529020 -65.757663 11
132.963145 153.943489 1.000000 33.638289 -88.064360 12
151.146388 97.340304 1.000000 49.421560 -5.463533 13
143.814607 67.640449 1.000000 17.788948 -64.003993 14
149.639871 176.064309 1.000000 26.006582 -26.426065 15
164.018480 39.802875 1.000000 51.200241 -1.955828 16
158.083784 161.613514 1.000000 45.326648 -46.227831 17
158.928753 63.267176 1.000000 40.756650 -56.084852 18
168.617363 193.173633 1.000000 27.099501 -50.413472 19
169.195652 140.000000 1.000000 36.641826 81.377057 20
184.131579 56.564593 1.000000 40.719918 -7.659188 21
177.761421 89.071066 1.000000 22.333381 -38.785219 22
185.122378 75.804196 1.000000 29.494588 -44.388584 23
181.963415 167.848780 1.000000 40.553492 -86.907368 24
184.945619 131.864048 1.000000 37.557398 82.734129 25
195.814815 220.048433 1.000000 40.579272 30.097941 26
209.667319 46.774951 1.000000 50.500752 -16.514111 27
197.056213 144.908284 1.000000 35.327378 81.452120 28
206.068796 165.326781 1.000000 37.673075 36.121231 29
206.562310 102.492401 1.000000 38.547720 -43.206343 30
204.718266 120.647059 1.000000 33.647904 -45.302653 31
208.199187 83.174797 1.000000 24.037401 -44.582937 32
219.424942 72.297921 1.000000 42.868114 -42.167307 33
222.975309 139.511111 1.000000 39.677038 18.510060 34
227.775974 202.305195 1.000000 34.734133 27.723102 35
233.033865 232.318725 1.000000 50.369892 30.130409 36
222.820106 97.047619 1.000000 17.310159 -47.816726 37
229.852941 116.797386 1.000000 29.393881 56.537283 38
235.856250 182.987500 1.000000 33.893239 25.361610 39
236.578125 151.656250 1.000000 31.920369 15.788028 40
241.188341 92.121076 1.000000 22.545021 63.216073 41
252.514739 198.278912 1.000000 39.608571 66.418622 42
256.827160 70.203704 1.000000 29.752907 49.401667 43
257.021605 94.802469 1.000000 33.229969 56.833719 44
260.630769 120.707692 1.000000 24.937306 -60.917229 45
267.514563 169.495146 1.000000 34.139719 20.158709 46
273.213376 111.732484 1.000000 33.780080 -60.925487 47
282.743304 187.058036 1.000000 40.126143 -12.707194 48
281.451220 137.103659 1.000000 28.572327 -15.700985 49
289.153285 111.596107 1.000000 49.753261 -61.369054 50
293.012012 164.108108 1.000000 34.324733 70.415118 51
300.560209 56.837696 1.000000 35.348375 -15.533771 52
293.888489 89.438849 1.000000 25.974735 -68.857175 53
308.296919 133.607843 1.000000 38.157899 58.707844 54
307.263636 108.745455 1.000000 21.693724 -33.636863 55
307.257511 166.849785 1.000000 25.660700 65.605656 56
312.559671 185.316872 1.000000 23.179188 55.231525 57
314.754464 94.700893 1.000000 25.286542 -40.108514 58
320.996825 140.822222 1.000000 32.611932 60.240611 59
324.275591 164.464567 1.000000 24.288987 75.221220 60
331.293160 69.221498 1.000000 30.901109 -23.773824 61
331.791809 185.679181 1.000000 27.865675 43.829074 62
338.961240 134.158915 1.000000 27.201366 89.371711 63
339.362445 158.781659 1.000000 26.863688 -85.767367 64
356.698052 178.873377 1.000000 27.576162 -12.462091 65
367.255738 116.308197 1.000000 29.929686 -80.948451 66
368.994269 149.710602 1.000000 37.106643 87.706233 67
46.763948 148.579399 1.000000 28.838707 36.588705 68
67.824427 132.622137 1.000000 28.769034 38.715877 69
70.033846 108.009231 1.000000 31.807836 58.734091 70
82.095406 84.282686 1.000000 28.142342 67.669146 71
86.000000 110.162963 1.000000 29.770421 61.445216 72
97.202055 84.229452 1.000000 32.977691 73.664207 73
93.227941 58.422794 1.000000 25.027424 63.368832 74
103.362745 36.588235 1.000000 29.544580 67.991138 75
94.698925 153.121864 1.000000 29.706800 62.125594 76
106.158192 132.937853 1.000000 23.922228 57.510272 77
115.765677 99.805281 1.000000 30.646892 -35.403496 78
136.117904 112.366812 1.000000 23.472946 -27.178830 79
121.985915 120.638498 1.000000 27.176393 -30.150661 80
146.247557 134.475570 1.000000 34.616811 -30.981283 81
151.545455 198.040000 1.000000 30.421965 -47.544725 82
167.884244 220.524116 1.000000 28.823195 -58.516681 83
169.208955 113.253731 1.000000 55.871334 26.593122 84
186.376471 208.607843 1.000000 25.989636 27.126905 85
208.043956 196.970696 1.000000 27.966507 29.800048 86
193.736318 189.099502 1.000000 27.931029 32.768240 87
221.314754 174.695082 1.000000 37.938018 26.919784 88
208.678862 229.069106 1.000000 25.333098 27.443854 89
228.703863 217.592275 1.000000 25.741790 31.064132 90
250.357798 161.853211 1.000000 26.779549 24.086317 91
273.115741 153.708333 1.000000 27.925670 11.610615 92
276.102473 62.772085 1.000000 57.234489 89.924380 93
302.337500 73.131250 1.000000 37.809980 -18.624953 94
333.047493 87.189974 1.000000 37.142011 -27.065454 95
304.309140 204.266129 1.000000 38.043987 -1.636232 96
335.912913 205.993994 1.000000 31.915746 -3.570800 97
354.738636 99.015909 1.000000 45.010825 62.187406 98
368.591176 68.382353 1.000000 32.144314 68.899526 99
354.460000 130.616000 1.000000 24.577027 89.958764 100
354.342282 155.325503 1.000000 30.196017 -87.825253 101
