# x, y, z, length, angle, cell_id
35.899761 26.131265 1.000000 42.031473 -19.313070 1
78.726916 30.844794 1.000000 50.472475 3.244217 2
84.372222 61.955556 1.000000 37.380171 -10.295434 3
90.646226 78.134434 1.000000 41.572204 -9.807556 4
96.756757 45.000000 1.000000 35.753636 9.085109 5
115.713793 64.496552 1.000000 29.854224 3.480068 6
128.814103 76.938034 1.000000 44.079966 16.768539 7
132.658000 51.736000 1.000000 44.602143 -27.132165 8
31.110145 40.417391 1.000000 34.656896 -16.995115 9
60.957055 46.174847 1.000000 33.369485 -2.308025 10
