# x, y, z, length, angle, cell_id
32.220049 83.638142 1.000000 38.196488 20.865725 1
41.511530 63.886792 1.000000 47.564062 20.413797 2
61.368110 40.840551 1.000000 49.201122 20.312053 3
71.317021 70.274468 1.000000 48.313525 13.786057 4
110.905660 81.978437 1.000000 41.970323 -29.338532 5
113.301508 65.876884 1.000000 38.133160 -21.992250 6
114.978082 47.917808 1.000000 33.420849 6.457657 7
138.359206 114.061372 1.000000 49.532311 -25.040256 8
147.788095 83.816667 1.000000 45.101558 24.133213 9
144.702778 47.758333 1.000000 32.154238 -3.654565 10
141.332155 69.127208 1.000000 24.659183 30.880070 11
157.493151 99.020548 1.000000 41.660345 8.214427 12
181.705502 83.349515 1.000000 30.562399 -6.746398 13
183.202899 67.468599 1.000000 21.126199 -17.926646 14
195.865741 104.752315 1.000000 42.250547 -28.775886 15
209.358621 94.479310 1.000000 29.982280 -34.680646 16
228.950156 85.872274 1.000000 26.474091 -11.976638 17
255.466334 96.511222 1.000000 34.870169 -30.998898 18
74.206422 53.963303 1.000000 21.245514 -18.182121 19
91.027027 26.868726 1.000000 23.245601 -86.165119 20
90.127660 47.795745 1.000000 23.687918 83.451513 21
85.849057 85.203774 1.000000 23.465036 -26.167205 22
105.961268 96.830986 1.000000 25.758541 -28.089022 23
173.664179 47.723881 1.000000 24.898621 -19.656987 24
198.189759 56.590361 1.000000 32.382511 -20.778231 25
228.405660 113.622642 1.000000 27.238435 3.958308 26
252.650327 114.836601 1.000000 27.293545 -5.072606 27
204.750000 74.676923 1.000000 25.512637 -19.832103 28
161.746725 62.135371 1.000000 21.163205 13.481892 29
