# x, y, z, length, angle, cell_id
34.389868 37.471366 1.000000 44.239673 -29.445642 1
72.473171 47.636585 1.000000 43.223343 5.953464 2
91.271028 64.369159 1.000000 47.297844 -13.129120 3
115.011494 49.515326 1.000000 46.028064 9.723869 4
131.691293 65.955145 1.000000 38.958169 9.240310 5
41.828179 23.759450 1.000000 27.899223 -20.535114 6
63.146825 31.722222 1.000000 23.313678 -20.253009 7
84.798535 78.073260 1.000000 26.339231 -17.031589 8
108.062718 83.543554 1.000000 25.820748 -13.513263 9
90.776758 32.779817 1.000000 31.834880 -6.541828 10
119.671598 32.520710 1.000000 33.661378 3.056085 11
135.684685 80.375375 1.000000 31.729085 10.734648 12
161.786667 76.116667 1.000000 27.310914 6.628039 13
149.212838 50.716216 1.000000 26.074147 -27.666688 14
173.425974 60.703896 1.000000 33.453972 -24.282204 15
