# x, y, z, length, angle, cell_id
33.552567 37.860636 1.000000 40.042824 -20.172534 1
45.985356 26.077406 1.000000 47.361684 -17.956385 2
68.978142 45.841530 1.000000 38.816553 -0.021754 3
86.641975 62.948148 1.000000 42.909973 -15.281367 4
92.042553 79.688588 1.000000 49.273668 -9.816667 5
108.326180 47.482833 1.000000 40.836907 12.072383 6
123.693410 64.587393 1.000000 35.569156 12.225652 7
95.298482 31.335582 1.000000 58.718228 2.302951 8
127.828767 79.294521 1.000000 27.558181 8.348344 9
149.855019 74.438662 1.000000 23.759542 15.770090 10
138.296748 47.813008 1.000000 21.888920 -30.274439 11
158.939828 57.879656 1.000000 30.223620 -26.283311 12
