# x, y, z, length, angle, cell_id
31.530303 131.613636 1.000000 35.163936 -19.819644 1
32.273632 104.977612 1.000000 35.156282 58.804276 2
68.980535 149.800487 1.000000 37.970788 31.430399 3
83.927835 70.195876 1.000000 28.114237 -29.548386 4
92.302778 92.022222 1.000000 37.040740 -31.852224 5
93.716374 26.102339 1.000000 31.372065 -30.878718 6
98.818605 61.927907 1.000000 47.790256 -32.089035 7
100.261128 143.332344 1.000000 28.765642 -5.440701 8
104.912226 48.589342 1.000000 34.081163 -30.125385 9
113.077778 85.802778 1.000000 36.386970 -23.007367 10
112.852761 116.042945 1.000000 33.722577 -11.512972 11
126.136069 40.615551 1.000000 42.005488 -19.393401 12
122.880952 103.714286 1.000000 28.616867 -9.248804 13
131.551867 149.875519 1.000000 41.806129 -19.722240 14
126.480892 66.856688 1.000000 30.225243 -89.324124 15
142.920543 175.250000 1.000000 49.639427 -34.535528 16
136.393064 89.861272 1.000000 20.179716 -82.250587 17
144.692790 122.238245 1.000000 33.183790 -28.243632 18
141.987013 66.837662 1.000000 30.566281 -87.254779 19
150.880478 108.928287 1.000000 28.900129 -37.168865 20
158.887538 97.234043 1.000000 40.506207 -38.324168 21
168.135076 163.370370 1.000000 44.401844 6.162354 22
167.922449 65.965306 1.000000 48.283919 -37.243611 23
164.989041 83.419178 1.000000 36.464104 -38.876564 24
173.643705 194.137767 1.000000 44.435315 16.519034 25
172.030418 134.623574 1.000000 25.093306 0.515048 26
178.158416 118.973597 1.000000 30.352688 -2.309519 27
183.401596 175.736702 1.000000 41.184627 21.664820 28
183.755294 206.658824 1.000000 41.232425 16.907021 29
185.706522 98.438406 1.000000 26.529001 69.904093 30
197.849558 78.123894 1.000000 21.196727 20.861410 31
200.297297 111.280405 1.000000 30.507168 -83.314712 32
213.696429 88.978571 1.000000 28.234568 15.457193 33
218.387097 161.314516 1.000000 39.298989 23.491413 34
215.357759 108.189655 1.000000 21.708149 -88.193426 35
219.961415 131.189711 1.000000 26.165193 -68.419513 36
231.010676 104.163701 1.000000 27.981130 83.396677 37
236.678295 78.480620 1.000000 25.069555 79.081199 38
238.514286 130.844156 1.000000 40.432400 74.677122 39
247.265823 149.624473 1.000000 24.607942 55.167108 40
249.161663 90.618938 1.000000 47.770071 77.294390 41
259.086207 61.905172 1.000000 30.666117 -16.055446 42
258.396270 113.832168 1.000000 42.845198 73.016209 43
269.165354 154.847769 1.000000 37.892964 21.623644 44
268.151943 138.088339 1.000000 26.770606 7.057063 45
284.605678 74.447950 1.000000 29.835709 -33.688177 46
287.544304 163.037975 1.000000 23.157704 33.644285 47
300.213508 121.755991 1.000000 48.929343 -66.131180 48
308.672840 168.111111 1.000000 34.532757 27.138945 49
313.880769 116.534615 1.000000 26.883185 -65.064254 50
324.253776 143.664653 1.000000 33.583496 -70.086809 51
46.764045 111.400749 1.000000 31.651719 53.108412 52
64.637195 88.539634 1.000000 34.533811 54.963635 53
50.443515 144.569038 1.000000 27.942301 40.737584 54
70.134409 132.026882 1.000000 24.334854 30.819501 55
58.439523 69.594549 1.000000 56.420239 57.738049 56
60.370607 120.546326 1.000000 28.806028 30.770831 57
82.504673 108.850467 1.000000 26.501062 16.678474 58
93.932000 127.404000 1.000000 28.204234 -3.598375 59
117.869822 130.692308 1.000000 23.113847 -7.486271 60
194.892178 148.372093 1.000000 53.307760 2.543631 61
209.002793 183.692737 1.000000 32.412110 37.889705 62
237.731771 171.575521 1.000000 34.462655 15.309974 63
268.228669 175.481229 1.000000 27.030482 -21.407274 64
290.306050 184.306050 1.000000 26.059819 -21.191059 65
275.199430 89.259259 1.000000 35.433210 -13.319421 66
307.080556 95.213889 1.000000 34.150657 -7.197045 67
278.584838 111.512635 1.000000 25.706900 -67.029522 68
289.237931 134.317241 1.000000 30.223541 -69.419157 69
329.260870 114.294314 1.000000 31.014147 -72.134438 70
339.271293 141.634069 1.000000 34.288339 -72.808949 71
149.091168 140.857550 1.000000 42.876821 -29.886528 72
306.417722 152.008439 1.000000 22.653403 19.673121 73
218.642308 71.730769 1.000000 24.206776 14.388730 74
193.582524 133.684466 1.000000 20.297879 7.255293 75
