# x, y, z, length, angle, cell_id
31.294643 45.223214 1.000000 34.080607 7.504696 1
48.977612 29.194030 1.000000 38.159665 4.131496 2
59.842553 44.072340 1.000000 25.551515 -3.643376 3
80.193995 79.946882 1.000000 39.603256 -38.797716 4
76.796438 31.931298 1.000000 37.352232 -71.941622 5
97.923529 69.773529 1.000000 33.903590 -12.789588 6
100.587079 53.553371 1.000000 32.950515 -3.354844 7
109.914063 38.113281 1.000000 50.463747 -4.538711 8
113.709220 88.059102 1.000000 38.345315 11.410852 9
128.569132 69.800643 1.000000 33.662729 12.217605 10
133.472149 53.745358 1.000000 36.497148 8.137213 11
155.455852 40.722793 1.000000 47.153275 -17.772666 12
170.339066 60.496314 1.000000 41.278533 -14.880573 13
203.729614 94.167382 1.000000 42.844343 5.023696 14
209.964413 74.806050 1.000000 50.123932 -22.326150 15
32.833333 60.163636 1.000000 31.922027 5.412398 16
64.763441 58.225806 1.000000 39.090253 2.544471 17
145.362069 84.727586 1.000000 27.894331 -19.128934 18
169.501706 91.969283 1.000000 28.139081 -19.795021 19
158.339921 72.470356 1.000000 26.215396 -12.677173 20
181.136929 79.705394 1.000000 25.279870 -17.627819 21
