# x, y, z, length, angle, cell_id
41.716981 25.827493 1.000000 35.576839 7.896150 1
74.519900 77.079602 1.000000 36.268457 -28.419415 2
70.709402 29.074074 1.000000 32.902323 -55.063628 3
104.664557 34.911392 1.000000 45.996651 4.951966 4
101.922840 50.870370 1.000000 29.928429 3.670683 5
106.419525 83.018470 1.000000 34.329997 5.488341 6
131.216216 51.378378 1.000000 32.843842 1.391988 7
145.620968 83.578629 1.000000 47.918866 -15.107799 8
146.194260 37.344371 1.000000 43.450175 -15.977246 9
144.142259 67.066946 1.000000 24.447463 -10.428888 10
166.800000 58.002597 1.000000 36.987963 -16.203527 11
185.604819 86.074699 1.000000 37.655638 9.461643 12
202.158607 70.394584 1.000000 45.959140 -22.698154 13
29.564189 41.746622 1.000000 30.024996 5.741627 14
54.566038 39.306604 1.000000 23.692748 4.942518 15
42.441696 54.915194 1.000000 27.484248 4.933754 16
69.180685 51.962617 1.000000 32.432168 8.815228 17
88.657343 65.510490 1.000000 29.868956 -11.920124 18
115.885305 66.953405 1.000000 30.292373 2.389519 19
165.429268 73.297561 1.000000 22.240130 -19.151481 20
