# x, y, z, length, angle, cell_id
30.914557 43.275316 1.000000 32.588943 3.545271 1
46.332481 28.058824 1.000000 37.105623 2.867222 2
58.190265 42.553097 1.000000 24.442788 -1.303828 3
78.120567 77.439716 1.000000 38.061382 -35.853823 4
74.568733 31.283019 1.000000 35.712222 -65.243715 5
99.450867 51.419075 1.000000 32.615827 -0.035233 6
108.112871 35.605941 1.000000 48.377264 -2.098250 7
111.045894 85.345411 1.000000 36.853212 9.098623 8
131.073107 52.096606 1.000000 35.382904 3.697881 9
152.400844 39.297468 1.000000 46.222849 -14.681415 10
167.780612 58.329082 1.000000 39.667189 -14.375148 11
197.343049 91.197309 1.000000 40.980174 5.779037 12
205.607011 72.520295 1.000000 48.346846 -23.955052 13
33.899676 57.870550 1.000000 30.502519 3.757215 14
64.365217 56.449275 1.000000 36.667364 3.349945 15
95.789809 67.343949 1.000000 32.398585 -10.787231 16
125.385382 67.880399 1.000000 32.298018 8.372647 17
141.951673 82.855019 1.000000 25.469757 -19.676073 18
164.374545 89.436364 1.000000 25.983705 -21.698681 19
154.431452 70.358871 1.000000 25.612161 -12.174299 20
176.743697 77.063025 1.000000 24.663003 -19.037934 21
