# x, y, z, length, angle, cell_id
44.042506 25.859060 1.000000 44.957007 -20.036402 1
87.109726 62.735661 1.000000 41.171315 -14.727203 2
92.274590 79.524590 1.000000 46.298396 -7.957911 3
103.795100 45.944321 1.000000 38.808579 12.193398 4
122.160606 64.493939 1.000000 34.015127 12.089852 5
135.710227 76.962121 1.000000 48.474946 14.386986 6
143.848168 51.980803 1.000000 50.508587 -26.837420 7
32.524934 37.611549 1.000000 38.019057 -20.200789 8
65.880682 45.758523 1.000000 36.123536 -2.969755 9
90.894180 30.589065 1.000000 55.949544 4.308999 10
