# x, y, z, length, angle, cell_id
31.383886 146.120853 1.000000 37.602891 -35.886468 1
32.145695 115.306843 1.000000 40.444093 50.053833 2
55.224090 157.845938 1.000000 35.305798 46.032910 3
57.830729 130.830729 1.000000 38.012365 52.254972 4
74.563380 132.665493 1.000000 33.233194 59.955675 5
82.115282 105.659517 1.000000 32.523482 27.700363 6
83.642369 145.763098 1.000000 41.963267 59.775050 7
93.469649 67.156550 1.000000 30.260860 -42.255017 8
102.742729 93.038031 1.000000 46.158559 -36.512108 9
102.116667 124.258333 1.000000 39.200002 -32.383179 10
98.111588 51.072961 1.000000 25.559135 -42.012159 11
110.828638 21.784038 1.000000 40.040559 -0.461737 12
108.716146 146.979167 1.000000 31.418691 -7.642796 13
110.426829 42.652439 1.000000 35.183628 -42.530804 14
114.372093 66.572093 1.000000 22.427980 -43.920850 15
122.657216 87.064433 1.000000 39.574751 -26.593199 16
124.621083 119.982906 1.000000 35.724278 -21.840183 17
134.125523 137.820084 1.000000 31.691817 -16.482210 18
140.810526 105.715789 1.000000 39.171636 5.889538 19
132.061224 66.947522 1.000000 34.468875 -74.888389 20
143.804428 158.695572 1.000000 46.931116 -29.846989 21
146.548571 61.757143 1.000000 35.305727 -69.223824 22
147.808511 88.281915 1.000000 19.421873 -57.641405 23
175.562105 175.515789 1.000000 49.180133 16.696989 24
167.296296 124.317901 1.000000 34.590071 -49.895134 25
180.828442 203.063205 1.000000 47.812701 17.385059 26
175.191126 110.286689 1.000000 32.673281 -34.286115 27
175.449074 76.166667 1.000000 21.421132 -35.347549 28
184.752381 144.615873 1.000000 29.725266 12.463734 29
194.735230 214.013129 1.000000 45.424899 18.362235 30
196.784483 126.290230 1.000000 34.478287 11.765942 31
202.478571 104.232143 1.000000 26.956485 78.159762 32
210.109705 139.029536 1.000000 23.866550 12.738779 33
210.229665 79.971292 1.000000 21.374871 41.739846 34
217.788945 186.663317 1.000000 36.853115 44.972856 35
223.556701 88.350515 1.000000 30.698501 42.476634 36
220.362805 118.243902 1.000000 34.691197 -68.476326 37
229.000000 64.796053 1.000000 27.886929 37.110952 38
232.697211 104.816733 1.000000 22.905962 -87.403296 39
241.486755 128.791391 1.000000 27.478616 -57.617247 40
250.171084 176.248193 1.000000 37.704489 0.073842 41
243.726923 79.807692 1.000000 25.754882 -78.072298 42
249.161184 107.819079 1.000000 31.011460 -76.591570 43
274.840336 54.691877 1.000000 32.510075 -18.537079 44
268.963636 156.309091 1.000000 23.633704 77.634922 45
286.812227 78.539301 1.000000 50.746215 -32.154831 46
275.397638 92.232283 1.000000 24.770914 -79.256038 47
281.565371 133.918728 1.000000 27.711863 40.887673 48
283.657778 160.071111 1.000000 43.994927 67.134939 49
280.360976 113.092683 1.000000 19.822877 -73.633379 50
294.326923 106.426282 1.000000 32.851202 -68.685501 51
299.462366 170.215054 1.000000 25.281898 29.593720 52
301.597403 70.311688 1.000000 30.820184 -38.245147 53
302.670300 140.659401 1.000000 38.322154 -81.317282 54
324.103516 94.285156 1.000000 49.184957 16.726704 55
322.189091 161.774545 1.000000 25.105149 8.703333 56
327.908088 116.363971 1.000000 28.379586 -78.680649 57
337.142029 146.631884 1.000000 34.657264 -67.151927 58
47.299451 120.398352 1.000000 46.298127 52.315010 59
71.185012 88.196721 1.000000 47.102643 57.871486 60
56.018605 83.525581 1.000000 41.908199 51.467244 61
74.975490 52.112745 1.000000 39.793180 61.993869 62
147.943314 38.058140 1.000000 64.964851 -5.791860 63
139.818519 176.588889 1.000000 27.455332 -49.613394 64
151.406475 196.802158 1.000000 25.593977 -64.538500 65
156.149533 137.183178 1.000000 55.455752 -62.582274 66
166.093645 56.341137 1.000000 27.952912 -17.314753 67
190.809231 66.726154 1.000000 31.142995 -31.078111 68
163.766355 85.990654 1.000000 23.610667 -46.223756 69
182.698198 98.382883 1.000000 25.979738 -34.148846 70
173.537037 190.879630 1.000000 27.853175 15.475327 71
196.650485 184.111650 1.000000 24.297106 19.244317 72
192.893175 157.237389 1.000000 47.019859 13.291900 73
229.567657 149.508251 1.000000 35.530282 9.275516 74
221.667368 165.132632 1.000000 51.495769 12.790566 75
254.452282 155.157676 1.000000 25.262905 78.118307 76
260.985915 132.070423 1.000000 28.112211 75.874002 77
257.315942 70.863768 1.000000 35.507865 -80.816569 78
262.524823 101.592199 1.000000 33.309465 -76.692645 79
278.151976 187.729483 1.000000 32.307970 1.570665 80
305.931034 187.968652 1.000000 28.878203 0.689162 81
313.160870 117.934783 1.000000 23.068942 -75.953278 82
318.523466 140.245487 1.000000 27.172902 -77.814036 83
343.795062 118.246914 1.000000 42.954337 -73.680050 84
355.319383 157.740088 1.000000 46.853954 -79.428109 85
333.167155 175.014663 1.000000 36.098428 12.588746 86
191.227273 85.875000 1.000000 17.160986 -41.212900 87
