# x, y, z, length, angle, cell_id
31.416244 78.337563 1.000000 35.951269 27.498115 1
39.405530 58.101382 1.000000 43.136218 18.432383 2
56.910448 37.503198 1.000000 45.718704 15.540426 3
67.635934 66.165485 1.000000 44.895263 9.970806 4
79.984436 81.785992 1.000000 22.208557 -28.938195 5
106.817694 80.418231 1.000000 40.139685 -26.662380 6
108.398010 63.893035 1.000000 37.774878 -17.011398 7
129.533203 104.595703 1.000000 45.237146 -11.314836 8
140.981233 80.195710 1.000000 40.408606 29.067111 9
136.011673 65.027237 1.000000 22.927145 35.364124 10
158.588972 95.172932 1.000000 38.961470 -7.562886 11
171.352313 81.565836 1.000000 28.932348 -5.192692 12
171.561576 66.359606 1.000000 20.555471 -7.618725 13
193.748201 103.350120 1.000000 39.470187 -22.983383 14
198.609319 88.390681 1.000000 28.817620 -20.679387 15
216.855219 79.404040 1.000000 25.562620 -22.457998 16
240.934605 90.332425 1.000000 32.099304 -27.268932 17
110.298551 47.011594 1.000000 31.006180 2.052252 18
137.761329 44.839879 1.000000 30.275205 6.808703 19
164.931452 43.278226 1.000000 23.185069 -26.004560 20
186.136778 53.303951 1.000000 30.950579 -22.872234 21
224.191275 109.530201 1.000000 25.289069 3.116812 22
247.333333 109.739583 1.000000 26.447135 -2.716366 23
70.516908 50.724638 1.000000 21.365569 -12.123001 24
85.842217 35.541578 1.000000 43.910497 -86.912217 25
192.481172 70.744770 1.000000 23.756396 -11.481553 26
97.934866 93.980843 1.000000 23.394388 -31.660139 27
154.028436 57.450237 1.000000 19.579242 20.263132 28
