# x, y, z, length, angle, cell_id
32.482979 180.795745 1.000000 42.750141 -35.665667 1
47.203333 161.650000 1.000000 35.099555 31.055659 2
73.250000 140.180723 1.000000 35.882790 49.981277 3
96.656535 112.507599 1.000000 36.520856 49.258175 4
93.797710 138.152672 1.000000 24.051776 40.060041 5
111.658892 80.341108 1.000000 38.808904 80.600677 6
128.165541 63.844595 1.000000 29.251161 -45.054177 7
123.331933 176.600840 1.000000 22.776589 85.162969 8
133.783972 132.606272 1.000000 37.933551 -31.258848 9
128.692308 89.724852 1.000000 31.322397 -66.085398 10
126.603113 151.299611 1.000000 26.342462 79.136753 11
139.603825 53.751366 1.000000 38.063250 -49.256657 12
140.081683 163.143564 1.000000 36.398591 81.905603 13
144.705882 87.831373 1.000000 27.300203 -66.110459 14
157.890141 183.819718 1.000000 29.052003 -34.450145 15
156.407767 78.592233 1.000000 20.504671 -59.363304 16
167.309824 155.188917 1.000000 46.620040 -37.868461 17
160.157895 166.157895 1.000000 24.316324 -36.453796 18
165.273616 209.540717 1.000000 33.969086 -48.066585 19
170.688172 73.877419 1.000000 46.477041 -62.201263 20
166.303867 94.679558 1.000000 18.190555 -43.268524 21
180.915408 202.818731 1.000000 29.094721 -47.804262 22
181.510638 182.910638 1.000000 29.323164 -43.289864 23
181.856369 235.986450 1.000000 33.801490 -65.799864 24
189.891967 142.750693 1.000000 37.962114 43.768974 25
198.483425 77.071823 1.000000 35.693045 -5.407245 26
195.522523 97.355856 1.000000 22.872140 -53.521294 27
199.922929 177.535645 1.000000 50.362869 -82.405278 28
203.102941 228.768382 1.000000 28.021102 37.477245 29
210.572368 241.416667 1.000000 49.607472 39.227708 30
211.865248 136.574468 1.000000 46.215335 56.412798 31
224.691511 98.281573 1.000000 50.388306 -21.773959 32
217.011019 158.581267 1.000000 37.505709 69.710744 33
226.760095 177.845606 1.000000 41.465748 29.654399 34
225.236486 211.746622 1.000000 29.577889 37.227451 35
228.792727 82.832727 1.000000 25.692418 -24.807189 36
243.969907 152.520833 1.000000 42.715414 28.283580 37
233.471233 130.309589 1.000000 37.029137 88.571768 38
248.198370 213.562500 1.000000 43.001315 30.743898 39
256.048223 193.053299 1.000000 42.007394 29.188582 40
249.103960 91.752475 1.000000 18.625849 -29.526370 41
248.595611 125.037618 1.000000 31.022441 84.987654 42
263.085333 159.432000 1.000000 39.907041 29.051999 43
264.532468 100.311688 1.000000 23.588017 40.217031 44
271.160121 113.870091 1.000000 33.558559 37.143550 45
274.782241 208.154334 1.000000 43.450968 74.175767 46
273.349432 60.886364 1.000000 32.842568 81.407706 47
293.972010 174.862595 1.000000 42.162434 25.215438 48
289.768683 125.156584 1.000000 25.417739 -48.816005 49
299.868421 112.859649 1.000000 36.834899 -47.973524 50
305.303688 192.086768 1.000000 42.350582 -3.277262 51
317.645729 210.381910 1.000000 40.224016 -18.005628 52
314.187879 136.233333 1.000000 29.335685 2.408797 53
319.824818 50.734793 1.000000 38.810319 -18.928958 54
312.605634 82.545775 1.000000 27.031356 -58.270494 55
