# x, y, z, length, angle, cell_id
30.592369 181.222892 1.000000 43.562046 -55.504912 1
49.344615 161.295385 1.000000 38.494178 18.181905 2
78.651934 143.267956 1.000000 38.866600 63.020084 3
100.768116 112.620290 1.000000 38.657137 57.345935 4
113.613953 181.495349 1.000000 45.455006 82.201993 5
123.981432 100.777188 1.000000 41.928286 -46.844896 6
119.309677 144.564516 1.000000 35.227438 77.355000 7
126.865132 65.986842 1.000000 30.136486 -35.121710 8
130.467692 88.015385 1.000000 41.488848 -45.689570 9
128.934615 179.692308 1.000000 24.017705 86.537586 10
140.311475 57.155738 1.000000 38.915158 -35.306315 11
140.554598 132.433908 1.000000 43.937050 -36.892988 12
132.549296 151.845070 1.000000 28.867525 77.905062 13
148.470175 86.638596 1.000000 29.348022 -52.758829 14
151.201342 121.956376 1.000000 30.841508 -28.737835 15
145.757720 165.125891 1.000000 37.305899 80.888766 16
153.549242 29.087121 1.000000 24.455248 -10.102944 17
162.260388 108.559557 1.000000 32.731944 -9.841490 18
161.420896 214.964179 1.000000 35.664344 -40.482421 19
160.368280 190.876344 1.000000 30.483007 -56.468048 20
161.339806 79.213592 1.000000 20.977378 -52.028629 21
173.479757 70.447368 1.000000 49.042036 -51.327636 22
167.004255 173.791489 1.000000 30.839277 -44.479468 23
178.132316 130.498728 1.000000 40.553544 25.996400 24
183.279487 31.489744 1.000000 36.163302 -3.381047 25
175.778325 94.906404 1.000000 20.673848 -29.652493 26
181.380000 211.531429 1.000000 30.131224 -56.501645 27
182.004988 243.027431 1.000000 36.355841 -65.620309 28
189.374046 142.709924 1.000000 38.984419 34.021749 29
191.807692 108.519231 1.000000 29.518187 11.962299 30
208.192893 77.675127 1.000000 39.650001 -7.785808 31
199.761905 92.609524 1.000000 22.209924 -27.306326 32
204.200692 235.979239 1.000000 29.417058 41.136136 33
214.906250 116.675481 1.000000 42.752238 19.038485 34
216.058065 138.632258 1.000000 49.652400 45.439720 35
218.447090 162.171958 1.000000 37.731222 67.578087 36
229.429204 179.880531 1.000000 43.695934 36.095822 37
227.093023 216.152824 1.000000 30.979238 40.565260 38
240.540146 85.777372 1.000000 26.015776 -22.848899 39
247.376652 152.495595 1.000000 44.818048 26.507384 40
240.680965 131.434316 1.000000 37.969591 67.276925 41
254.815271 213.807882 1.000000 47.411475 30.993451 42
259.283753 194.542334 1.000000 47.103748 32.012802 43
268.074519 159.353365 1.000000 44.043164 25.561525 44
259.398601 127.101399 1.000000 28.432253 54.483256 45
261.394231 95.663462 1.000000 19.056064 -32.398460 46
276.493506 106.476190 1.000000 23.833313 27.912962 47
277.024291 137.834008 1.000000 23.320826 -15.329509 48
287.925000 165.730556 1.000000 43.954934 22.783887 49
286.958457 117.605341 1.000000 34.321079 31.721814 50
280.459155 63.078873 1.000000 33.260084 88.780315 51
282.515030 210.312625 1.000000 47.254616 86.351028 52
301.193103 175.519540 1.000000 46.845920 19.959340 53
301.543689 144.174757 1.000000 30.210571 -6.240178 54
303.705882 128.570934 1.000000 26.305266 -6.292114 55
310.987207 194.974414 1.000000 44.511766 -11.428216 56
320.575980 213.154412 1.000000 41.966160 -18.902535 57
312.406667 85.363333 1.000000 33.256156 -61.761832 58
315.752688 113.916667 1.000000 38.529165 -49.390052 59
322.058140 48.553488 1.000000 39.728437 -5.392864 60
325.034268 154.401869 1.000000 39.853886 17.103388 61
333.811947 171.207965 1.000000 48.134419 41.084612 62
331.356083 137.228487 1.000000 30.168502 13.136918 63
328.408304 82.837370 1.000000 27.517195 -61.455614 64
332.381944 112.041667 1.000000 37.474788 -52.747677 65
341.418803 183.119658 1.000000 26.301843 41.227319 66
344.164835 199.684982 1.000000 26.834182 32.220575 67
343.373206 102.956938 1.000000 21.263132 -45.509600 68
350.971014 89.011594 1.000000 39.118364 -49.939370 69
354.299465 227.930481 1.000000 35.428317 -24.060568 70
360.086817 207.745981 1.000000 29.537835 27.224485 71
353.924051 133.455696 1.000000 47.673653 88.922795 72
364.952978 59.313480 1.000000 31.056445 -30.090529 73
360.536667 179.123333 1.000000 27.389148 83.083198 74
370.917178 118.601227 1.000000 33.992541 -57.986989 75
367.730114 149.051136 1.000000 35.271069 85.007710 76
379.627063 219.864686 1.000000 35.089274 -7.819626 77
388.080997 206.168224 1.000000 29.109196 -9.068099 78
388.819876 59.581781 1.000000 46.901867 -66.665152 79
386.931579 139.376316 1.000000 39.224465 67.438437 80
405.242340 181.718663 1.000000 38.470200 79.734516 81
407.823056 81.702413 1.000000 36.229237 77.404021 82
412.833846 148.224615 1.000000 31.816739 85.901889 83
425.315789 163.723684 1.000000 39.942961 80.950177 84
30.135057 152.094828 1.000000 31.172658 19.999928 85
55.162420 143.621019 1.000000 27.527633 14.455365 86
58.525606 174.309973 1.000000 35.594523 16.083587 87
91.620047 160.386946 1.000000 41.692811 24.595019 88
61.890957 191.816489 1.000000 36.169990 25.320759 89
90.807292 178.471354 1.000000 36.124679 22.045984 90
79.663984 115.921529 1.000000 50.004759 51.218452 91
102.743455 82.384817 1.000000 39.751694 58.969971 92
102.553616 57.581047 1.000000 40.225380 45.761327 93
127.750605 31.002421 1.000000 40.904344 49.235147 94
98.478873 139.172535 1.000000 25.957422 42.668353 95
113.430657 120.306569 1.000000 26.099295 58.761128 96
150.172662 43.187050 1.000000 32.655528 -11.603445 97
186.242647 46.220588 1.000000 47.521371 -0.439012 98
174.651214 162.781457 1.000000 53.060897 -46.235377 99
193.337662 60.850649 1.000000 32.084562 -3.904132 100
219.632411 64.098814 1.000000 27.884653 -13.677441 101
201.578467 180.164234 1.000000 54.592225 -77.734272 102
206.710425 253.204633 1.000000 26.042767 34.733731 103
224.091270 237.571429 1.000000 28.095069 45.902441 104
224.722063 49.891117 1.000000 35.229664 -16.197203 105
254.501385 59.551247 1.000000 36.926341 -20.419122 106
222.650000 95.370833 1.000000 24.027255 -22.117441 107
245.503472 105.034722 1.000000 31.738830 -25.737629 108
240.550000 240.800000 1.000000 27.880688 42.989510 109
261.182927 226.609756 1.000000 26.571447 27.483820 110
248.900709 73.021277 1.000000 32.285863 -21.644010 111
273.891304 85.717391 1.000000 30.836171 -32.945442 112
246.466135 255.641434 1.000000 23.882493 27.395942 113
266.339806 241.576052 1.000000 29.679992 34.000107 114
315.840909 62.777273 1.000000 26.616866 -1.193922 115
341.883959 65.174061 1.000000 29.347373 -6.935872 116
